"ID","info","inCore","count","MK-ID"
"Iniguez Al, 2004, MOL PLANT MICROBE IN","Iniguez Al, 2004, MOL PLANT MICROBE IN, V17, P1078",False,1,"None"
"Johnston Dt, 2009, P NATL ACAD SCI USA","Johnston Dt, 2009, P NATL ACAD SCI USA, V106, P16925",False,1,"None"
"Kasting Jf, 1990, ORIGINS LIFE EVOL B","Kasting Jf, 1990, ORIGINS LIFE EVOL B, V20, P199",False,1,"None"
"Kasting Jf, 1981, J GEOPHYS RES-OCEANS","Kasting Jf, 1981, J GEOPHYS RES-OCEANS, V86, P1147",False,1,"None"
"Kasting Jf, 1982, J GEOPHYS RES-OCEANS","Kasting Jf, 1982, J GEOPHYS RES-OCEANS, V87, P3091",False,1,"None"
"Likens Ge, 1981, SOME PERSPECTIVES MA","Likens Ge, 1981, SOME PERSPECTIVES MA, P93",False,1,"None"
"Mancinelli Rl, 1988, ORIGINS LIFE EVOL B","Mancinelli Rl, 1988, ORIGINS LIFE EVOL B, V18, P311",False,1,"None"
"Mosier Ar, 1998, CLIMATIC CHANGE","Mosier Ar, 1998, CLIMATIC CHANGE, V40, P7",False,1,"None"
"Peoples Mb, 2009, SYMBIOSIS","Peoples Mb, 2009, SYMBIOSIS, V48, P1",False,1,"None"
"Petersen Bt, 2007, AM GEOPH UN FALL M A","Petersen Bt, 2007, AM GEOPH UN FALL M A",False,1,"None"
"Piña-Ochoa E, 2010, P NATL ACAD SCI USA","Piña-Ochoa E, 2010, P NATL ACAD SCI USA, V107, P1148",False,1,"None"
"Quan Tm, 2009, GEOBIOLOGY","Quan Tm, 2009, GEOBIOLOGY, V7, P124",False,1,"None"
"Raun Wr, 2002, AGRON J","Raun Wr, 2002, AGRON J, V94, P815",False,1,"None"
"Ravishankara Ar, 2009, SCIENCE","Ravishankara Ar, 2009, SCIENCE, V326, P123",False,2,"None"
"Raymond J, 2004, MOL BIOL EVOL","Raymond J, 2004, MOL BIOL EVOL, V21, P541",False,1,"None"
"Rudnick R L, 2003, TREATISE GEOCHEMISTR","Rudnick R L, 2003, TREATISE GEOCHEMISTR, P1",False,1,"None"
"Schlesinger Wh, 2009, P NATL ACAD SCI USA","Schlesinger Wh, 2009, P NATL ACAD SCI USA, V106, P203",False,1,"None"
"Scott C, 2008, NATURE","Scott C, 2008, NATURE, V452, P456",False,1,"None"
"Seitzinger Sp, 2002, ESTUARIES","Seitzinger Sp, 2002, ESTUARIES, V25, P640",False,1,"None"
"Smirnov A, 2008, GEOCHEM T","Smirnov A, 2008, GEOCHEM T, V9",False,1,"None"
"Sterner R W, 2002, ECOLOGICAL STOICHIOM","Sterner R W, 2002, ECOLOGICAL STOICHIOM",False,1,"None"
